merchant_id,merchant_name,category,country,city,risk_tier,registered_since
MER-00116,Merchant_116,gas_station,US,New York,low,2023-11-01
MER-00117,Merchant_117,wire_transfer,BR,Rio de Janeiro,high,2021-07-01
MER-00118,Merchant_118,online_retail,IN,Delhi,low,2024-09-01
MER-00119,Merchant_119,clothing,US,Phoenix,low,2022-02-01
MER-00120,Merchant_120,entertainment,US,Dallas,low,2022-08-01
MER-00121,Merchant_121,jewelry,RO,Cluj,high,2021-08-01
MER-00122,Merchant_122,entertainment,US,Phoenix,low,2011-06-01
MER-00123,Merchant_123,travel,US,New York,low,2016-05-01
MER-00124,Merchant_124,restaurant,US,Los Angeles,low,2013-11-01
MER-00125,Merchant_125,wire_transfer,US,Houston,high,2023-07-01
MER-00126,Merchant_126,clothing,IN,Delhi,low,2015-11-01
MER-00127,Merchant_127,healthcare,DE,Berlin,low,2019-06-01
MER-00128,Merchant_128,electronics,US,Houston,low,2020-12-01
MER-00129,Merchant_129,travel,CN,Beijing,high,2024-09-01
MER-00130,Merchant_130,jewelry,BR,Rio de Janeiro,high,2016-07-01
MER-00131,Merchant_131,electronics,UK,Manchester,low,2011-04-01
MER-00132,Merchant_132,entertainment,RU,St Petersburg,high,2020-05-01
MER-00133,Merchant_133,electronics,US,Phoenix,low,2015-05-01
MER-00134,Merchant_134,online_gambling,UA,Kyiv,high,2014-06-01
MER-00135,Merchant_135,crypto_exchange,BR,Rio de Janeiro,high,2013-05-01
MER-00136,Merchant_136,wire_transfer,RO,Bucharest,high,2013-12-01
MER-00137,Merchant_137,online_gambling,US,Chicago,high,2022-01-01
MER-00138,Merchant_138,restaurant,CN,Beijing,high,2021-06-01
MER-00139,Merchant_139,electronics,UK,Birmingham,low,2013-10-01
MER-00140,Merchant_140,electronics,UK,Manchester,low,2012-11-01
MER-00141,Merchant_141,wire_transfer,UK,Birmingham,high,2022-03-01
MER-00142,Merchant_142,wire_transfer,UA,Odessa,high,2012-06-01
MER-00143,Merchant_143,healthcare,US,Dallas,low,2023-01-01
MER-00144,Merchant_144,jewelry,PH,Cebu,high,2016-02-01
MER-00145,Merchant_145,gas_station,IN,Bangalore,low,2021-07-01
MER-00146,Merchant_146,jewelry,CA,Montreal,high,2010-11-01
MER-00147,Merchant_147,jewelry,NG,Abuja,high,2014-03-01
MER-00148,Merchant_148,gas_station,UK,Manchester,low,2015-07-01
MER-00149,Merchant_149,restaurant,UK,London,low,2023-03-01
MER-00150,Merchant_150,entertainment,NG,Lagos,high,2024-11-01
MER-00151,Merchant_151,entertainment,CN,Shanghai,high,2014-01-01
MER-00152,Merchant_152,online_retail,UK,London,low,2017-11-01
MER-00153,Merchant_153,utilities,UK,Manchester,low,2012-06-01
MER-00154,Merchant_154,online_gambling,US,Los Angeles,high,2018-07-01
MER-00155,Merchant_155,grocery,CA,Vancouver,low,2014-11-01
MER-00156,Merchant_156,online_gambling,RU,Moscow,high,2013-06-01
MER-00157,Merchant_157,jewelry,CA,Toronto,high,2017-07-01
MER-00158,Merchant_158,gas_station,PH,Cebu,high,2016-05-01
MER-00159,Merchant_159,healthcare,RU,St Petersburg,high,2023-05-01
MER-00160,Merchant_160,wire_transfer,US,Chicago,high,2013-07-01
MER-00161,Merchant_161,crypto_exchange,DE,Frankfurt,high,2022-08-01
MER-00162,Merchant_162,healthcare,PH,Manila,high,2019-04-01
MER-00163,Merchant_163,online_retail,UK,Manchester,low,2018-09-01
MER-00164,Merchant_164,clothing,DE,Munich,low,2022-03-01
MER-00165,Merchant_165,healthcare,RU,St Petersburg,high,2015-10-01
MER-00166,Merchant_166,online_gambling,BR,Sao Paulo,high,2012-07-01
MER-00167,Merchant_167,grocery,NG,Abuja,high,2010-12-01
MER-00168,Merchant_168,wire_transfer,RU,Moscow,high,2017-12-01
MER-00169,Merchant_169,entertainment,UK,London,low,2023-10-01
MER-00170,Merchant_170,clothing,UK,London,low,2011-10-01
MER-00171,Merchant_171,healthcare,CN,Shanghai,high,2019-04-01
MER-00172,Merchant_172,online_retail,CA,Toronto,low,2017-09-01
MER-00173,Merchant_173,healthcare,US,Houston,low,2024-04-01
MER-00174,Merchant_174,gas_station,US,Houston,low,2010-05-01
MER-00175,Merchant_175,electronics,RO,Bucharest,high,2022-09-01
MER-00176,Merchant_176,online_retail,PH,Manila,high,2012-09-01
MER-00177,Merchant_177,entertainment,RU,Moscow,high,2012-11-01
MER-00178,Merchant_178,clothing,BR,Sao Paulo,low,2019-10-01
MER-00179,Merchant_179,wire_transfer,US,Dallas,high,2022-10-01
MER-00180,Merchant_180,electronics,BR,Sao Paulo,low,2020-01-01
MER-00181,Merchant_181,wire_transfer,RO,Bucharest,high,2014-03-01
MER-00182,Merchant_182,jewelry,CA,Toronto,high,2018-06-01
MER-00183,Merchant_183,online_gambling,US,Dallas,high,2014-02-01
MER-00184,Merchant_184,gas_station,RU,St Petersburg,high,2020-01-01
MER-00185,Merchant_185,travel,CA,Montreal,low,2020-01-01
MER-00186,Merchant_186,restaurant,BR,Sao Paulo,low,2017-04-01
MER-00187,Merchant_187,healthcare,US,New York,low,2023-08-01
MER-00188,Merchant_188,grocery,CN,Beijing,high,2014-11-01
MER-00189,Merchant_189,restaurant,NG,Abuja,high,2021-08-01
MER-00190,Merchant_190,wire_transfer,BR,Rio de Janeiro,high,2014-08-01
MER-00191,Merchant_191,clothing,RO,Bucharest,high,2017-10-01
MER-00192,Merchant_192,crypto_exchange,US,Phoenix,high,2020-08-01
MER-00193,Merchant_193,wire_transfer,UK,Birmingham,high,2020-02-01
MER-00194,Merchant_194,jewelry,US,Houston,high,2023-01-01
MER-00195,Merchant_195,clothing,UA,Kyiv,high,2015-04-01
MER-00196,Merchant_196,entertainment,CA,Montreal,low,2016-10-01
MER-00197,Merchant_197,jewelry,US,New York,high,2015-05-01
MER-00198,Merchant_198,online_gambling,US,Los Angeles,high,2024-06-01
MER-00199,Merchant_199,entertainment,CA,Vancouver,low,2020-05-01
MER-00200,Merchant_200,crypto_exchange,BR,Rio de Janeiro,high,2015-05-01
MER-00201,Merchant_201,healthcare,RO,Bucharest,high,2014-01-01
MER-00202,Merchant_202,healthcare,CN,Beijing,high,2021-11-01
MER-00203,Merchant_203,utilities,NG,Lagos,high,2018-11-01
MER-00204,Merchant_204,entertainment,IN,Mumbai,low,2010-08-01
MER-00205,Merchant_205,utilities,UA,Kyiv,high,2024-11-01
MER-00206,Merchant_206,healthcare,NG,Abuja,high,2020-02-01
MER-00207,Merchant_207,crypto_exchange,CA,Toronto,high,2010-10-01
MER-00208,Merchant_208,travel,PH,Cebu,high,2019-01-01
MER-00209,Merchant_209,crypto_exchange,US,Phoenix,high,2022-12-01
MER-00210,Merchant_210,electronics,UK,London,low,2024-11-01
MER-00211,Merchant_211,restaurant,DE,Frankfurt,low,2015-01-01
MER-00212,Merchant_212,gas_station,UK,London,low,2017-03-01
MER-00213,Merchant_213,electronics,US,Houston,low,2015-11-01
MER-00214,Merchant_214,restaurant,CN,Shanghai,high,2012-04-01
MER-00215,Merchant_215,wire_transfer,US,New York,high,2023-10-01
MER-00216,Merchant_216,electronics,RU,St Petersburg,high,2023-08-01
MER-00217,Merchant_217,clothing,RU,St Petersburg,high,2018-01-01
MER-00218,Merchant_218,travel,US,Dallas,low,2024-06-01
MER-00219,Merchant_219,clothing,RU,Moscow,high,2023-11-01
MER-00220,Merchant_220,clothing,US,Houston,low,2017-06-01
MER-00221,Merchant_221,travel,UA,Kyiv,high,2021-05-01
MER-00222,Merchant_222,online_gambling,PH,Cebu,high,2024-03-01
MER-00223,Merchant_223,entertainment,NG,Lagos,high,2020-12-01
MER-00224,Merchant_224,wire_transfer,US,Houston,high,2022-12-01
MER-00225,Merchant_225,grocery,US,Chicago,low,2013-11-01
MER-00226,Merchant_226,travel,US,Chicago,low,2018-06-01
MER-00227,Merchant_227,grocery,BR,Sao Paulo,low,2023-01-01
MER-00228,Merchant_228,travel,DE,Frankfurt,low,2016-03-01
MER-00229,Merchant_229,travel,UK,London,low,2023-11-01
MER-00230,Merchant_230,electronics,US,Los Angeles,low,2020-01-01
MER-00231,Merchant_231,travel,US,Los Angeles,low,2023-06-01
MER-00232,Merchant_232,crypto_exchange,CA,Toronto,high,2024-09-01
MER-00233,Merchant_233,utilities,US,Los Angeles,low,2010-10-01
MER-00234,Merchant_234,travel,UK,Manchester,low,2020-03-01
MER-00235,Merchant_235,healthcare,US,Houston,low,2019-10-01
MER-00236,Merchant_236,utilities,CA,Toronto,low,2022-11-01
MER-00237,Merchant_237,utilities,UA,Odessa,high,2015-08-01
MER-00238,Merchant_238,restaurant,BR,Rio de Janeiro,low,2013-05-01
MER-00239,Merchant_239,jewelry,US,New York,high,2017-08-01
MER-00240,Merchant_240,healthcare,CN,Shanghai,high,2015-02-01
MER-00241,Merchant_241,online_gambling,US,Phoenix,high,2012-11-01
MER-00242,Merchant_242,online_gambling,US,Chicago,high,2023-09-01
MER-00243,Merchant_243,utilities,US,Phoenix,low,2012-08-01
MER-00244,Merchant_244,wire_transfer,RO,Cluj,high,2016-07-01
MER-00245,Merchant_245,electronics,BR,Sao Paulo,low,2021-06-01
MER-00246,Merchant_246,travel,DE,Munich,low,2020-01-01
MER-00247,Merchant_247,wire_transfer,RO,Cluj,high,2018-10-01
MER-00248,Merchant_248,online_retail,US,Houston,low,2016-05-01
MER-00249,Merchant_249,online_retail,BR,Rio de Janeiro,low,2012-02-01
MER-00250,Merchant_250,healthcare,BR,Sao Paulo,low,2018-10-01
MER-00251,Merchant_251,utilities,US,New York,low,2024-10-01
MER-00252,Merchant_252,gas_station,NG,Lagos,high,2019-02-01
MER-00253,Merchant_253,clothing,DE,Berlin,low,2020-06-01
MER-00254,Merchant_254,jewelry,UA,Odessa,high,2018-06-01
MER-00255,Merchant_255,online_retail,RO,Bucharest,high,2013-05-01
MER-00256,Merchant_256,jewelry,CN,Shanghai,high,2020-03-01
MER-00257,Merchant_257,clothing,BR,Sao Paulo,low,2010-04-01
MER-00258,Merchant_258,clothing,CA,Montreal,low,2016-05-01
MER-00259,Merchant_259,restaurant,IN,Bangalore,low,2014-01-01
MER-00260,Merchant_260,travel,RO,Bucharest,high,2013-09-01
MER-00261,Merchant_261,online_gambling,UK,Manchester,high,2019-08-01
MER-00262,Merchant_262,restaurant,UA,Kyiv,high,2018-03-01
MER-00263,Merchant_263,entertainment,BR,Sao Paulo,low,2021-10-01
MER-00264,Merchant_264,wire_transfer,US,Chicago,high,2018-01-01
MER-00265,Merchant_265,crypto_exchange,US,New York,high,2010-12-01
MER-00266,Merchant_266,jewelry,US,Houston,high,2014-04-01
MER-00267,Merchant_267,restaurant,PH,Manila,high,2011-09-01
MER-00268,Merchant_268,healthcare,BR,Sao Paulo,low,2021-03-01
MER-00269,Merchant_269,utilities,RO,Cluj,high,2013-02-01
MER-00270,Merchant_270,entertainment,US,New York,low,2012-02-01
MER-00271,Merchant_271,electronics,US,Los Angeles,low,2010-05-01
MER-00272,Merchant_272,utilities,NG,Lagos,high,2018-01-01
MER-00273,Merchant_273,jewelry,CN,Shanghai,high,2017-04-01
MER-00274,Merchant_274,healthcare,CA,Vancouver,low,2020-07-01
MER-00275,Merchant_275,crypto_exchange,US,Phoenix,high,2016-07-01
MER-00276,Merchant_276,utilities,RU,Moscow,high,2016-11-01
MER-00277,Merchant_277,grocery,CN,Beijing,high,2013-05-01
MER-00278,Merchant_278,online_retail,UK,London,low,2010-02-01
MER-00279,Merchant_279,clothing,US,New York,low,2017-06-01
MER-00280,Merchant_280,online_retail,PH,Cebu,high,2022-06-01
MER-00281,Merchant_281,healthcare,UA,Odessa,high,2019-04-01
MER-00282,Merchant_282,utilities,US,Phoenix,low,2012-05-01
MER-00283,Merchant_283,online_gambling,US,Chicago,high,2012-12-01
MER-00284,Merchant_284,restaurant,RU,Moscow,high,2022-10-01
MER-00285,Merchant_285,grocery,BR,Rio de Janeiro,low,2015-11-01
MER-00286,Merchant_286,jewelry,UA,Kyiv,high,2018-08-01
MER-00287,Merchant_287,gas_station,DE,Berlin,low,2011-11-01
MER-00288,Merchant_288,gas_station,US,Houston,low,2020-05-01
MER-00289,Merchant_289,electronics,UA,Odessa,high,2015-08-01
MER-00290,Merchant_290,gas_station,UK,Birmingham,low,2010-10-01
MER-00291,Merchant_291,travel,BR,Rio de Janeiro,low,2016-06-01
MER-00292,Merchant_292,gas_station,IN,Bangalore,low,2016-01-01
MER-00293,Merchant_293,grocery,DE,Berlin,low,2018-07-01
MER-00294,Merchant_294,utilities,IN,Mumbai,low,2023-05-01
MER-00295,Merchant_295,electronics,UA,Odessa,high,2024-12-01
MER-00296,Merchant_296,electronics,UK,Birmingham,low,2017-07-01
MER-00297,Merchant_297,utilities,CA,Montreal,low,2023-04-01
MER-00298,Merchant_298,gas_station,NG,Abuja,high,2014-10-01
MER-00299,Merchant_299,travel,US,Los Angeles,low,2014-10-01
MER-00300,Merchant_300,jewelry,DE,Berlin,high,2021-07-01
MER-00301,Merchant_301,utilities,CA,Toronto,low,2017-11-01
MER-00302,Merchant_302,electronics,US,Houston,low,2024-06-01
MER-00303,Merchant_303,healthcare,NG,Lagos,high,2018-10-01
MER-00304,Merchant_304,travel,BR,Sao Paulo,low,2020-01-01
MER-00305,Merchant_305,crypto_exchange,CA,Vancouver,high,2013-12-01
MER-00306,Merchant_306,jewelry,US,New York,high,2023-04-01
MER-00307,Merchant_307,grocery,US,Dallas,low,2011-08-01
MER-00308,Merchant_308,online_gambling,PH,Manila,high,2023-09-01
MER-00309,Merchant_309,wire_transfer,US,Phoenix,high,2013-01-01
MER-00310,Merchant_310,entertainment,CA,Montreal,low,2015-07-01
MER-00311,Merchant_311,entertainment,PH,Manila,high,2020-03-01
MER-00312,Merchant_312,utilities,UK,Birmingham,low,2023-02-01
MER-00313,Merchant_313,online_retail,UK,Birmingham,low,2015-12-01
MER-00314,Merchant_314,healthcare,CA,Montreal,low,2011-11-01
MER-00315,Merchant_315,healthcare,BR,Sao Paulo,low,2011-04-01
MER-00316,Merchant_316,crypto_exchange,UK,Birmingham,high,2023-10-01
MER-00317,Merchant_317,electronics,US,Chicago,low,2024-11-01
MER-00318,Merchant_318,electronics,UA,Odessa,high,2018-05-01
MER-00319,Merchant_319,travel,US,Dallas,low,2015-02-01
MER-00320,Merchant_320,healthcare,IN,Mumbai,low,2024-12-01
MER-00321,Merchant_321,restaurant,CN,Shanghai,high,2012-04-01
MER-00322,Merchant_322,entertainment,US,Phoenix,low,2016-04-01
MER-00323,Merchant_323,online_gambling,PH,Cebu,high,2021-07-01
MER-00324,Merchant_324,clothing,DE,Frankfurt,low,2012-06-01
MER-00325,Merchant_325,restaurant,US,Chicago,low,2018-11-01
MER-00326,Merchant_326,online_gambling,UK,Birmingham,high,2023-09-01
MER-00327,Merchant_327,travel,US,New York,low,2021-02-01
MER-00328,Merchant_328,gas_station,DE,Berlin,low,2019-09-01
MER-00329,Merchant_329,jewelry,RO,Cluj,high,2020-11-01
MER-00330,Merchant_330,gas_station,US,Los Angeles,low,2021-11-01
MER-00331,Merchant_331,crypto_exchange,UA,Odessa,high,2016-08-01
MER-00332,Merchant_332,travel,NG,Lagos,high,2020-12-01
MER-00333,Merchant_333,online_retail,CA,Vancouver,low,2017-11-01
MER-00334,Merchant_334,electronics,US,Chicago,low,2019-12-01
MER-00335,Merchant_335,online_gambling,UK,Manchester,high,2019-12-01
MER-00336,Merchant_336,online_retail,BR,Rio de Janeiro,low,2012-05-01
MER-00337,Merchant_337,gas_station,NG,Lagos,high,2020-03-01
MER-00338,Merchant_338,online_retail,DE,Munich,low,2021-12-01
MER-00339,Merchant_339,utilities,US,Chicago,low,2019-01-01
MER-00340,Merchant_340,grocery,UA,Kyiv,high,2013-08-01
MER-00341,Merchant_341,grocery,NG,Lagos,high,2018-10-01
MER-00342,Merchant_342,gas_station,IN,Bangalore,low,2014-12-01
MER-00343,Merchant_343,crypto_exchange,US,Phoenix,high,2017-09-01
MER-00344,Merchant_344,utilities,UA,Odessa,high,2021-05-01
MER-00345,Merchant_345,gas_station,DE,Berlin,low,2011-03-01
MER-00346,Merchant_346,utilities,US,Houston,low,2017-07-01
MER-00347,Merchant_347,online_retail,US,New York,low,2015-02-01
MER-00348,Merchant_348,online_retail,UK,Birmingham,low,2021-11-01
MER-00349,Merchant_349,wire_transfer,PH,Cebu,high,2014-07-01
MER-00350,Merchant_350,online_retail,PH,Manila,high,2023-10-01
MER-00351,Merchant_351,healthcare,BR,Sao Paulo,low,2021-06-01
MER-00352,Merchant_352,healthcare,US,Los Angeles,low,2023-12-01
MER-00353,Merchant_353,gas_station,NG,Lagos,high,2010-04-01
MER-00354,Merchant_354,grocery,UA,Odessa,high,2017-07-01
MER-00355,Merchant_355,crypto_exchange,UK,Birmingham,high,2014-09-01
MER-00356,Merchant_356,online_gambling,IN,Bangalore,high,2016-02-01
MER-00357,Merchant_357,entertainment,UA,Odessa,high,2013-09-01
MER-00358,Merchant_358,travel,DE,Munich,low,2018-10-01
MER-00359,Merchant_359,clothing,UK,Manchester,low,2023-12-01
MER-00360,Merchant_360,gas_station,UA,Odessa,high,2018-10-01
MER-00361,Merchant_361,grocery,PH,Cebu,high,2018-09-01
MER-00362,Merchant_362,entertainment,CA,Vancouver,low,2018-02-01
MER-00363,Merchant_363,crypto_exchange,US,Houston,high,2011-11-01
MER-00364,Merchant_364,travel,IN,Mumbai,low,2023-07-01
MER-00365,Merchant_365,clothing,US,Dallas,low,2021-04-01
MER-00366,Merchant_366,healthcare,CA,Vancouver,low,2022-04-01
MER-00367,Merchant_367,crypto_exchange,RO,Bucharest,high,2022-02-01
MER-00368,Merchant_368,gas_station,RU,St Petersburg,high,2013-07-01
MER-00369,Merchant_369,wire_transfer,US,Phoenix,high,2012-10-01
MER-00370,Merchant_370,jewelry,RO,Bucharest,high,2016-04-01
MER-00371,Merchant_371,gas_station,DE,Munich,low,2024-05-01
MER-00372,Merchant_372,utilities,UA,Odessa,high,2018-04-01
MER-00373,Merchant_373,crypto_exchange,US,Dallas,high,2015-11-01
MER-00374,Merchant_374,healthcare,US,Phoenix,low,2024-12-01
MER-00375,Merchant_375,wire_transfer,RU,Moscow,high,2011-09-01
MER-00376,Merchant_376,wire_transfer,US,Los Angeles,high,2016-05-01
MER-00377,Merchant_377,crypto_exchange,UA,Kyiv,high,2020-06-01
MER-00378,Merchant_378,online_retail,US,New York,low,2015-11-01
MER-00379,Merchant_379,gas_station,NG,Abuja,high,2012-06-01
MER-00380,Merchant_380,wire_transfer,CA,Toronto,high,2012-07-01
MER-00381,Merchant_381,wire_transfer,PH,Manila,high,2018-02-01
MER-00382,Merchant_382,grocery,CA,Montreal,low,2016-04-01
MER-00383,Merchant_383,utilities,UK,Birmingham,low,2013-07-01
MER-00384,Merchant_384,healthcare,DE,Frankfurt,low,2024-12-01
MER-00385,Merchant_385,travel,US,New York,low,2015-04-01
MER-00386,Merchant_386,travel,RU,Moscow,high,2021-12-01
MER-00387,Merchant_387,electronics,DE,Frankfurt,low,2019-07-01
MER-00388,Merchant_388,restaurant,IN,Bangalore,low,2010-05-01
MER-00389,Merchant_389,grocery,CN,Shanghai,high,2015-07-01
MER-00390,Merchant_390,wire_transfer,RU,St Petersburg,high,2014-08-01
MER-00391,Merchant_391,electronics,NG,Lagos,high,2018-03-01
MER-00392,Merchant_392,gas_station,US,Los Angeles,low,2022-06-01
MER-00393,Merchant_393,jewelry,US,Houston,high,2016-03-01
MER-00394,Merchant_394,crypto_exchange,UK,Manchester,high,2020-01-01
MER-00395,Merchant_395,gas_station,UK,Birmingham,low,2022-08-01
MER-00396,Merchant_396,entertainment,BR,Sao Paulo,low,2013-06-01
MER-00397,Merchant_397,restaurant,US,New York,low,2022-12-01
